Area-Year,Predicted Export Value (USD),Actual Export Value (USD)
Equatorial Guinea-2021,10.172712,13.092584350915205
Equatorial Guinea-2022,11.830307,18.24903238539286
Eritrea-2020,9.109228,11.754380336055691
Eritrea-2021,9.455935,11.302821527163822
Eritrea-2022,11.936154,9.934016757570951
Estonia-2022,18.443785,20.34790380041409
Eswatini-2020,18.338802,20.013071190544863
Eswatini-2021,18.624977,20.132521333950937
Eswatini-2022,15.56652,19.825514876477968
Ethiopia-2020,18.717934,20.196864878280138
Ethiopia-2021,18.335043,20.352350086642222
Ethiopia-2022,14.972233,20.169483267662162
Faroe Islands-2020,11.882706,12.039191273224096
Faroe Islands-2021,10.555868,8.610683534503575
Faroe Islands-2022,16.68938,9.739791459865339
Fiji-2020,18.33773,18.75551585550104
Fiji-2021,17.79945,18.76044726274844
Fiji-2022,15.914365,19.00158914104646
Finland-2021,19.666124,19.939235831367146
Finland-2022,17.136583,19.960383187813967
French Polynesia-2020,15.269383,16.08145552522327
French Polynesia-2021,14.616238,16.24029735435216
French Polynesia-2022,17.417324,16.14315502555158
Gabon-2020,14.102868,17.42510245670539
Gabon-2021,13.981987,18.126716848768844
Gabon-2022,15.64777,17.864417106278022
Gambia-2020,15.77684,14.905199821253538
Gambia-2021,12.94888,15.909134798014472
Gambia-2022,12.029765,17.376504366474787
Georgia-2021,17.430765,19.67104283264096
Georgia-2022,14.5847,19.781586627924295
Ghana-2020,19.875393,20.515231120180715
Ghana-2021,19.296312,20.654059167606327
Ghana-2022,15.537556,20.386110160833624
Greece-2020,20.832026,22.271536237600984
Greece-2021,20.700754,22.412835646922666
Greece-2022,19.678661,22.464652433682726
Grenada-2020,15.275367,15.403849443138778
Grenada-2021,14.210818,15.650064475146683
Grenada-2022,15.147169,16.017534710003705
Guatemala-2020,21.032438,21.94710779576731
Guatemala-2021,20.902164,22.036620375283434
Guatemala-2022,19.406761,22.25499121258224
Guinea-2020,16.804323,17.882938941470805
Guinea-2021,16.643236,18.3590046820665
Guinea-2022,15.168505,18.34876703955443
Guinea-Bissau-2020,16.528374,18.587735267076972
Guinea-Bissau-2021,16.600145,18.690064391727752
Guinea-Bissau-2022,13.114512,19.03610986691151
Guyana-2021,19.633717,19.298608413985185
Guyana-2022,17.898207,19.288479895076623
Haiti-2020,16.899559,16.85561037315131
Haiti-2021,16.08466,16.879872503723007
Haiti-2022,15.550692,16.44138060200803
Honduras-2020,20.139744,21.02882523596238
Honduras-2021,20.021788,20.740601453083215
Honduras-2022,17.019857,21.363037024227403
Hungary-2020,21.595583,22.195356234328486
Hungary-2021,21.659857,22.29545057902481
Hungary-2022,18.847971,22.376729478777317
Iran (Islamic Republic of)-2020,21.02361,21.531948872364442
Iran (Islamic Republic of)-2021,20.14543,21.494564914107382
Iran (Islamic Republic of)-2022,17.17683,21.063140813390653
Iraq-2020,17.437677,18.418710404107074
Iraq-2021,17.061653,18.692241971023194
Iraq-2022,14.208482,18.927199566750886
Israel-2020,20.088333,21.058008006435593
Israel-2021,20.267889,21.1468059370571
Israel-2022,16.35539,21.118770840820314
Jamaica-2020,18.563456,18.69473289967042
Jamaica-2021,18.124308,18.784471549984914
Jamaica-2022,16.29904,18.82230642421469
Japan-2020,20.842411,21.21746228317379
Japan-2021,20.720404,21.36971084671079
Jordan-2020,19.78874,20.122106961232138
Jordan-2021,20.26687,20.42569014363342
Jordan-2022,16.920494,20.018399959896026
Kazakhstan-2021,20.522614,21.718413430271703
Kenya-2020,20.14181,20.8569972845586
Kenya-2021,19.623293,20.87935191696359
Kenya-2022,16.171314,20.788152994178358
Kiribati-2020,15.774561,14.901300996912326
Kiribati-2021,13.507713,15.296544481571935
Kiribati-2022,13.817154,14.772662963571454
Kuwait-2020,19.808561,18.939199618628457
Kyrgyzstan-2020,18.071865,18.858472858122944
Kyrgyzstan-2021,17.867338,19.180385406176768
Lao People's Democratic Republic-2021,19.914341,20.614861983920584
Lao People's Democratic Republic-2022,16.211056,21.037785293491673
Latvia-2021,20.306406,21.002054146880067
Latvia-2022,17.66332,21.315445792753575
Lebanon-2020,19.416046,19.962343564533384
Lebanon-2021,19.701857,20.003051565452346
Lebanon-2022,16.493898,19.99414138638005
Lesotho-2020,16.644184,16.82441321994165
Lesotho-2021,16.144356,16.179158764858343
Lesotho-2022,14.725559,16.994439838327338
Liberia-2020,16.821444,17.77738468835338
Liberia-2021,16.306164,18.066476317199953
Liberia-2022,13.451709,18.366435412376948
Libya-2020,16.511835,15.975208630609663
Libya-2021,15.319598,15.297387788977895
Libya-2022,14.716211,16.082521321659602
Lithuania-2021,20.781237,21.76440051966172
Lithuania-2022,18.68357,21.898726814760387
Luxembourg-2021,19.276014,20.001410986229224
Madagascar-2020,17.404703,18.472367565897788
Madagascar-2021,17.34088,18.634497818575927
Madagascar-2022,14.565504,18.559844420445653
Malawi-2020,18.760662,20.172760846861856
Malawi-2021,18.606375,20.33436933821363
Malawi-2022,17.091963,20.2267629348821
Maldives-2020,11.024597,13.456031686692807
Maldives-2021,10.755281,10.178084385439254
Maldives-2022,13.270611,9.701371368413994
Mali-2020,18.198887,17.188492261656183
Mali-2021,17.512283,17.446559078029587
Mali-2022,16.279202,17.18464813916115
Malta-2020,16.658875,17.12078423832294
Malta-2021,15.994914,17.056512974297494
Malta-2022,17.66601,17.34364362833965
Mauritania-2020,12.985162,12.910728348272988
Mauritania-2021,12.658308,12.997412211981498
Mauritania-2022,11.498636,14.80472827919212
Mauritius-2020,18.304728,19.130835226957178
Mauritius-2021,18.432983,19.052661790479597
Mauritius-2022,16.354092,19.21488175972059
Mongolia-2020,15.7733965,14.855518682316331
Mongolia-2021,14.230656,18.294607980752605
Mongolia-2022,12.989425,18.27397749636224
Montenegro-2020,15.825214,16.487848603719566
Montenegro-2021,15.20034,16.924262987092007
Montenegro-2022,14.956846,16.479826890263396
Morocco-2020,20.84241,22.018382008321083
Morocco-2021,20.653152,22.18898198916488
Morocco-2022,16.895832,22.270004208282145
Mozambique-2020,18.211899,19.767126334732342
Mozambique-2021,18.588152,20.151638488182144
Mozambique-2022,16.100712,20.35760348411061
Myanmar-2020,21.902006,21.96102730637658
Myanmar-2021,20.633392,21.983314531394868
Myanmar-2022,14.888773,21.971865700303944
Namibia-2020,16.931625,18.197247525688734
Namibia-2021,16.920887,18.56985641176152
Namibia-2022,13.565548,18.813919817757395
Nauru-2020,13.249783,0.0
Nauru-2021,13.689474,11.752099833356965
Nauru-2022,13.199883,10.274016090763396
Nepal-2020,19.057287,19.516318814014035
Nepal-2021,19.252396,20.676549798290736
Nepal-2022,15.986387,19.967967384833113
New Caledonia-2020,14.352787,14.835872975311327
New Caledonia-2021,13.653557,14.885243147081733
New Caledonia-2022,12.130148,13.310965172155434
New Zealand-2021,20.346258,22.416354966851916
New Zealand-2022,16.44617,22.349621122251968
Nicaragua-2021,20.295414,20.741149113663234
Nicaragua-2022,17.404913,20.853546477848226
Niger-2020,17.462812,17.62583743676396
Niger-2021,17.030897,17.62370742553024
Niger-2022,16.509768,17.348715254768
Nigeria-2020,19.88592,19.611469185276047
Nigeria-2021,19.05853,19.94457351304164
Nigeria-2022,13.096872,19.51270769681571
Niue-2020,12.458289,11.535567195451053
